yt_url,title,author,views,views_numeric,scaled_views,date,year,thumb_url,img_id,rgn,hsl,hex,red,green,blue,hue,sat,lig,PC1,PC2,PC3,PC4,PC5
https://www.youtube.com/watch?v=dhsy6epaJGs&list=PLirAqAtl_h2r5g8xGajEwdXd3x1sZh8hC&index=200&pp=iAQB8AUB,PULCINO PIO - El Pollito Pio (Official video),PULCINO PIO,1.6B views,1600000000,106.6666667,11 years ago,2013,https://img.youtube.com/vi/dhsy6epaJGs/hqdefault.jpg,dhsy6epaJGs,"rgb(155, 28, 43)",hsl(353 69% 36%),#9b1c2b,155,28,43,353,69,36,-0.9648330671,2.56479398,1.130646924,-0.480578418,-0.503906914
https://www.youtube.com/watch?v=QcIy9NiNbmo&list=PLirAqAtl_h2r5g8xGajEwdXd3x1sZh8hC&index=199&pp=iAQB8AUB,Taylor Swift - Bad Blood ft. Kendrick Lamar,Taylor Swift,1.6B views,1600000000,106.6666667,9 years ago,2015,https://img.youtube.com/vi/QcIy9NiNbmo/hqdefault.jpg,QcIy9NiNbmo,"rgb(226, 127, 59)",hsl(24 74% 56%),#e27f3b,226,127,59,24,74,56,0.646883768,-0.08504291578,2.338217379,-0.663314581,-0.1012730145
https://www.youtube.com/watch?v=QRa9On5_grA&list=PLirAqAtl_h2r5g8xGajEwdXd3x1sZh8hC&index=192&pp=iAQB8AUB,Mariposita ORIGINAL - Gallina Pintadita 2 - Oficial - Canciones infantiles para niños y bebés,Gallina Pintadita,1.6B views,1600000000,106.6666667,13 years ago,2011,https://img.youtube.com/vi/QRa9On5_grA/hqdefault.jpg,QRa9On5_grA,"rgb(231, 64, 135)",hsl(334 78% 58%),#e74087,231,64,135,334,78,58,0.7194762671,2.657646874,1.297872723,0.1231301263,-0.7416783934
https://www.youtube.com/watch?v=9sg-A-eS6Ig&list=PLirAqAtl_h2r5g8xGajEwdXd3x1sZh8hC&index=223&pp=iAQB8AUB,"Enrique Iglesias - SUBEME LA RADIO (Official Video) ft. Descemer Bueno, Zion & Lennox",Enrique Iglesias,1.5B views,1500000000,100,7 years ago,2017,https://img.youtube.com/vi/9sg-A-eS6Ig/hqdefault.jpg,9sg-A-eS6Ig,"rgb(6, 6, 6)",hsl(0 0% 2%),#060606,6,6,6,0,0,2,-2.578958285,-1.488083609,-0.4367780652,0.225566226,-0.04423351915
https://www.youtube.com/watch?v=LHCob76kigA&list=PLirAqAtl_h2r5g8xGajEwdXd3x1sZh8hC&index=217&pp=iAQB8AUB,Lukas Graham - 7 Years [Official Music Video],Lukas Graham,1.5B views,1500000000,100,8 years ago,2016,https://img.youtube.com/vi/LHCob76kigA/hqdefault.jpg,LHCob76kigA,"rgb(22, 22, 22)",hsl(0 0% 9%),#161616,22,22,22,0,0,9,-2.137492028,-1.497537116,-0.4961371346,0.2133735857,-0.06581562491
https://www.youtube.com/watch?v=ETLoTxVVvjM&list=PLirAqAtl_h2r5g8xGajEwdXd3x1sZh8hC&index=225&pp=iAQB8AUB,Christian Nodal - Adiós Amor (Video Oficial),Christian Nodal,1.5B views,1500000000,100,7 years ago,2017,https://img.youtube.com/vi/ETLoTxVVvjM/hqdefault.jpg,ETLoTxVVvjM,"rgb(111, 109, 98)",hsl(51 6% 41%),#6f6d62,111,109,98,51,6,41,0.04958874435,-1.046325357,-0.7044344024,0.04087288299,0.01813609136
https://www.youtube.com/watch?v=QJO3ROT-A4E&list=PLirAqAtl_h2r5g8xGajEwdXd3x1sZh8hC&index=219&pp=iAQB8AUB,One Direction - What Makes You Beautiful (Official Video),One Direction,1.5B views,1500000000,100,13 years ago,2011,https://img.youtube.com/vi/QJO3ROT-A4E/hqdefault.jpg,QJO3ROT-A4E,"rgb(210, 214, 215)",hsl(192 6% 83%),#d2d6d7,210,214,215,192,6,83,2.915787233,0.02179293878,-1.602220787,-0.04680512794,0.04185323461
https://www.youtube.com/watch?v=QtXby3twMmI&list=PLirAqAtl_h2r5g8xGajEwdXd3x1sZh8hC&index=215&pp=iAQB8AUB,Coldplay - Adventure Of A Lifetime (Official Video),Coldplay,1.5B views,1500000000,100,8 years ago,2016,https://img.youtube.com/vi/QtXby3twMmI/hqdefault.jpg,QtXby3twMmI,"rgb(42, 50, 45)",hsl(143 9% 18%),#2a322d,42,50,45,143,9,18,-1.472145264,-0.2283024669,-0.6921487976,-0.02875556267,0.06218039644
https://www.youtube.com/watch?v=hHUbLv4ThOo&list=PLirAqAtl_h2r5g8xGajEwdXd3x1sZh8hC&index=228&pp=iAQB8AUB,"Pitbull, Ke$ha - Timber (featuring Ke$ha - Official Video)",Pitbull,1.5B views,1500000000,100,10 years ago,2014,https://img.youtube.com/vi/hHUbLv4ThOo/hqdefault.jpg,hHUbLv4ThOo,"rgb(142, 157, 163)",hsl(197 10% 60%),#8e9da3,142,157,163,197,10,60,1.454189181,0.1768716758,-1.252988823,0.02347404269,0.07108757548
https://www.youtube.com/watch?v=dQw4w9WgXcQ&list=PLirAqAtl_h2r5g8xGajEwdXd3x1sZh8hC&index=214&pp=iAQB8AUB,Rick Astley - Never Gonna Give You Up (Official Music Video),Rick Astley,1.5B views,1500000000,100,14 years ago,2010,https://img.youtube.com/vi/dQw4w9WgXcQ/hqdefault.jpg,dQw4w9WgXcQ,"rgb(178, 159, 176)",hsl(306 11% 66%),#b29fb0,178,159,176,306,11,66,1.694187598,1.059153494,-1.625430008,-0.0994313161,-0.02796126237
